district,department,tau,yearmonth,treated_4g_dl,treated_4g_meas,treated_4g_time_pct,control_mean_4g_dl,control_mean_4g_meas
La Victoria,Lambayeque,-1,202411,9.597743,41925.0,97.046776,10.1923042,84815.2
La Victoria,Lambayeque,0,202412,9.765975,46545.0,98.24527,9.8159216,76963.4
La Victoria,Lambayeque,1,202501,9.717503,37895.0,96.7776,10.027995,81169.6
La Victoria,Lambayeque,2,202502,9.325766,43758.0,97.92787,9.665977900000001,76448.6
La Victoria,Lambayeque,3,202503,9.536309,43638.0,97.78166,10.0371893,81512.0
La Victoria,Lambayeque,4,202504,9.943248,45685.0,95.73598,10.2993116,76375.2
La Victoria,Lambayeque,5,202505,9.867271,39175.0,96.80371,10.2302245,72331.4
La Victoria,Lambayeque,6,202506,11.46783,37061.0,97.38397,10.1308808,69301.2
La Victoria,Lambayeque,7,202507,12.689809,44171.0,98.119514,10.3662442,66407.8
La Victoria,Lambayeque,8,202508,12.434798,49571.0,96.516785,10.6612774,71565.6
La Victoria,Lambayeque,9,202509,12.486698,45290.0,97.622826,10.9431964,64443.0
La Victoria,Lambayeque,10,202510,13.236013,50374.0,97.1714,11.0884608,61302.2
La Victoria,Lambayeque,11,202511,14.175513,45221.0,97.21293,11.6490817,60663.4
La Victoria,Lambayeque,12,202512,12.987055,40113.0,97.84823,11.823762599999998,54139.2
Breña,Lima,-12,202412,10.392201,65242.0,95.58019,11.5237266,90202.8
Breña,Lima,-11,202501,10.383628,64705.0,92.50128,11.5301782,99901.2
Breña,Lima,-10,202502,11.397219,60878.0,94.423996,11.254919400000002,93016.4
Breña,Lima,-9,202503,11.696852,60955.0,96.39079,11.467028,104983.4
Breña,Lima,-8,202504,12.154782,65890.0,96.36506,12.049033099999999,104296.8
Breña,Lima,-7,202505,13.108296,77948.0,98.1644,11.9968122,99619.6
Breña,Lima,-6,202506,13.503706,67358.0,96.461914,12.0432386,92083.4
Breña,Lima,-5,202507,12.092561,76810.0,96.359695,11.8956095,88112.4
Breña,Lima,-4,202508,11.794642,66230.0,97.60096,12.1325842,93244.0
Breña,Lima,-3,202509,12.530323,74733.0,98.07002,12.772934600000001,87478.0
Breña,Lima,-2,202510,12.822158,66175.0,97.86095,12.7870849,86312.6
Breña,Lima,-1,202511,13.363552,62545.0,98.34331,12.7372543,79310.4
Breña,Lima,0,202512,13.886901,59299.0,98.19336,13.1623254,82324.8
Breña,Lima,1,202601,14.086522,57074.0,98.56455,13.4267171,83523.0
Breña,Lima,2,202602,13.071259,59295.0,96.651474,13.5925148,80775.6
Breña,Lima,3,202603,12.902976,53831.0,98.34814,13.5162148,86583.8
Breña,Lima,4,202604,13.148812,48636.0,98.76607,13.5469884,78159.4
Breña,Lima,5,202605,13.672227,54847.0,98.53398,13.618440799999998,72457.0
Carabayllo,Lima,-12,202412,10.308854,145797.0,90.41824,11.620987,174006.33333333334
Carabayllo,Lima,-11,202501,11.216667,126292.0,92.73981,11.787683999999999,184976.0
Carabayllo,Lima,-10,202502,12.721289,149437.0,93.406075,11.6945335,170092.33333333334
Carabayllo,Lima,-9,202503,13.055373,169434.0,94.199066,12.05137,207910.33333333334
Carabayllo,Lima,-8,202504,12.568585,178972.0,95.30703,12.250692666666666,186796.0
Carabayllo,Lima,-7,202505,13.030358,166555.0,95.80183,12.080232333333333,181039.66666666666
Carabayllo,Lima,-6,202506,13.87983,164213.0,96.48353,12.070001,172272.33333333334
Carabayllo,Lima,-5,202507,13.196912,158329.0,96.007484,12.430973666666667,166969.0
Carabayllo,Lima,-4,202508,12.97969,158243.0,96.760735,12.44151,186328.33333333334
Carabayllo,Lima,-3,202509,12.659134,143001.0,97.57273,12.850837,163763.66666666666
Carabayllo,Lima,-2,202510,13.051315,138061.0,96.85074,13.077252333333334,154265.66666666666
Carabayllo,Lima,-1,202511,14.538212,157272.0,97.580696,13.159878333333333,148096.66666666666
Carabayllo,Lima,0,202512,14.673113,153985.0,98.51298,13.842973333333333,149505.33333333334
Carabayllo,Lima,1,202601,13.917837,137753.0,98.80586,13.974809333333333,145924.33333333334
Carabayllo,Lima,2,202602,14.040616,148571.0,98.84012,14.988164333333332,144239.66666666666
Carabayllo,Lima,3,202603,14.103414,170196.0,99.04153,14.786837,154181.0
Carabayllo,Lima,4,202604,13.097819,134554.0,99.29529,14.693748666666666,136105.33333333334
Carabayllo,Lima,5,202605,13.284177,106066.0,98.70218,14.311773666666667,140155.66666666666
Independencia,Lima,-12,202412,10.807154,88200.0,92.55693,11.3400772,158963.2
Independencia,Lima,-11,202501,12.635545,100688.0,93.404274,11.271386600000001,170741.2
Independencia,Lima,-10,202502,11.620127,97858.0,93.48942,11.062915300000002,159127.2
Independencia,Lima,-9,202503,11.408864,110428.0,94.84783,11.4337976,192270.4
Independencia,Lima,-8,202504,11.73603,107465.0,94.78412,11.735851299999998,189312.4
Independencia,Lima,-7,202505,11.9741125,106863.0,94.70625,11.6686996,172013.4
Independencia,Lima,-6,202506,11.708428,102951.0,94.45729,11.7281854,161097.2
Independencia,Lima,-5,202507,11.733929,97429.0,93.36842,11.938745899999999,153518.4
Independencia,Lima,-4,202508,12.044074,109232.0,93.90667,12.1508082,159920.8
Independencia,Lima,-3,202509,13.013014,110286.0,94.4759,12.3804096,134385.6
Independencia,Lima,-2,202510,12.42973,89507.0,95.42527,12.526884599999999,135407.6
Independencia,Lima,-1,202511,12.76088,79972.0,97.79539,12.7996714,127101.2
Independencia,Lima,0,202512,12.623341,78929.0,96.16739,13.159388799999999,133886.2
Independencia,Lima,1,202601,12.955612,77226.0,96.4395,13.478626600000002,136608.2
Independencia,Lima,2,202602,12.3679905,65909.0,97.809944,13.526239200000001,130333.0
Independencia,Lima,3,202603,12.964834,80155.0,98.35118,13.494296400000001,138868.4
Independencia,Lima,4,202604,13.167127,83333.0,98.54363,13.3810104,119832.4
Independencia,Lima,5,202605,12.838061,76301.0,98.48972,13.684950999999998,123334.4
Los Olivos,Lima,-12,202412,11.126807,181135.0,91.826996,11.499336,224418.0
Los Olivos,Lima,-11,202501,11.841656,188915.0,92.85315,11.76758225,235696.25
Los Olivos,Lima,-10,202502,12.252078,175108.0,93.66969,11.587068624999999,216977.0
Los Olivos,Lima,-9,202503,12.50764,196544.0,94.17829,11.884805499999999,253538.0
Los Olivos,Lima,-8,202504,11.766205,197577.0,95.602615,12.021359749999998,236989.75
Los Olivos,Lima,-7,202505,12.008074,197902.0,95.515625,11.988509,231858.75
Los Olivos,Lima,-6,202506,12.973744,197208.0,95.16931,11.96691375,220186.5
Los Olivos,Lima,-5,202507,12.783185,171199.0,95.86669,12.277931749999999,218054.75
Los Olivos,Lima,-4,202508,12.58411,170575.0,96.22417,12.43130375,238207.75
Los Olivos,Lima,-3,202509,13.237459,157679.0,96.296974,12.717344,209161.25
Los Olivos,Lima,-2,202510,13.720346,151313.0,96.47673,12.909291000000001,206642.0
Los Olivos,Lima,-1,202511,13.598413,142963.0,97.33869,12.97398475,194069.0
Los Olivos,Lima,0,202512,14.186612,157474.0,97.60834,13.521949,194495.25
Los Olivos,Lima,1,202601,14.104302,160760.0,97.82375,13.56830025,184928.25
Los Olivos,Lima,2,202602,13.453126,151292.0,98.99073,14.375715750000001,177561.75
Los Olivos,Lima,3,202603,13.468227,167737.0,98.41239,14.30231725,196570.0
