group,district_key,breakpoint,first_5g_yearmonth,relative_month,class
controls_used,LIMA|CAÑETE|QUILMANA,202406,,,never
controls_used,LIMA|CAÑETE|SAN LUIS,202406,,,never
controls_used,LIMA|CAÑETE|CERRO AZUL,202406,,,never
controls_used,AREQUIPA|ISLAY|COCACHACRA,202406,,,never
controls_used,AREQUIPA|CAMANA|SAMUEL PASTOR,202406,,,never
controls_used,LA LIBERTAD|ASCOPE|SANTIAGO DE CAO,202406,,,never
controls_used,AREQUIPA|ISLAY|MOLLENDO,202406,,,never
controls_used,LIMA|HUARAL|AUCALLAMA,202406,,,never
controls_used,ICA|PISCO|PARACAS,202406,,,never
controls_used,ICA|PISCO|HUMAY,202406,,,never
controls_used,LA LIBERTAD|PACASMAYO|PACASMAYO,202406,,,never
controls_used,LIMA|LIMA|SAN LUIS,202406,,,never
controls_used,LIMA|HUAURA|HUACHO,202406,,,never
controls_used,LIMA|LIMA|PACHACAMAC,202406,,,never
controls_used,ICA|PISCO|PISCO,202406,,,never
controls_used,LA LIBERTAD|PACASMAYO|PACASMAYO,202405,,,never
controls_used,ICA|PISCO|SAN ANDRES,202405,,,never
controls_used,LA LIBERTAD|TRUJILLO|SALAVERRY,202405,,,never
controls_used,LIMA|HUARAL|CHANCAY,202405,,,never
controls_used,LA LIBERTAD|PACASMAYO|SAN PEDRO DE LLOC,202405,,,never
controls_used,ANCASH|HUARAZ|HUARAZ,202501,,,never
controls_used,HUANCAVELICA|HUANCAVELICA|HUANCAVELICA,202501,,,never
controls_used,JUNIN|TARMA|TARMA,202501,,,never
controls_used,CUSCO|CANCHIS|SICUANI,202501,,,never
controls_used,APURIMAC|ANDAHUAYLAS|ANDAHUAYLAS,202501,,,never
controls_used,ANCASH|HUARAZ|INDEPENDENCIA,202501,,,never
controls_used,LA LIBERTAD|SANCHEZ CARRION|HUAMACHUCO,202501,,,never
controls_used,ANCASH|HUARI|SAN MARCOS,202501,,,never
controls_used,AYACUCHO|LUCANAS|PUQUIO,202501,,,never
controls_used,CUSCO|CALCA|CALCA,202501,,,never
controls_used,CUSCO|ANTA|ANTA,202501,,,never
controls_used,CUSCO|ANTA|ANTA,202412,,,never
controls_used,HUANCAVELICA|TAYACAJA|PAMPAS,202412,,,never
controls_used,JUNIN|CONCEPCION|CONCEPCION,202412,,,never
controls_used,AYACUCHO|LUCANAS|PUQUIO,202412,,,never
controls_used,HUANCAVELICA|HUANCAVELICA|HUANCAVELICA,202412,,,never
controls_used,LIMA|LIMA|SANTIAGO DE SURCO,202412,202403.0,-9.0,5g_before_bp
controls_used,CALLAO|CALLAO|VENTANILLA,202412,,,never
controls_used,ANCASH|SANTA|NUEVO CHIMBOTE,202412,,,never
controls_used,LIMA|LIMA|COMAS,202412,,,never
controls_used,LIMA|LIMA|VILLA EL SALVADOR,202412,,,never
controls_used,LIMA|LIMA|PACHACAMAC,202412,,,never
controls_used,LIMA|LIMA|CHORRILLOS,202412,202603.0,15.0,5g_after_window
controls_used,ANCASH|SANTA|CHIMBOTE,202412,,,never
controls_used,LIMA|LIMA|SAN JUAN DE MIRAFLORES,202412,202403.0,-9.0,5g_before_bp
controls_used,LIMA|LIMA|EL AGUSTINO,202412,202603.0,15.0,5g_after_window
controls_used,PIURA|PIURA|TAMBO GRANDE,202412,,,never
controls_used,LIMA|HUARAL|CHANCAY,202412,,,never
controls_used,CALLAO|CALLAO|CARMEN DE LA LEGUA REYNOSO,202412,,,never
controls_used,LIMA|HUAURA|SANTA MARIA,202412,,,never
controls_used,AREQUIPA|ISLAY|MOLLENDO,202412,,,never
