department,province,district,yearmonth,category
Arequipa,Arequipa,Jacobo Hunter,202411,empty_field
Arequipa,Arequipa,Jacobo Hunter,202412,empty_field
Arequipa,Arequipa,Jacobo Hunter,202501,empty_field
Arequipa,Arequipa,Jacobo Hunter,202502,empty_field
Arequipa,Arequipa,Jacobo Hunter,202503,empty_field
Arequipa,Arequipa,Jacobo Hunter,202504,empty_field
Arequipa,Arequipa,Jacobo Hunter,202505,empty_field
Arequipa,Arequipa,Jacobo Hunter,202506,empty_field
Arequipa,Arequipa,Jacobo Hunter,202507,empty_field
Arequipa,Arequipa,Jacobo Hunter,202508,empty_field
Arequipa,Arequipa,Jacobo Hunter,202509,empty_field
Arequipa,Arequipa,Jacobo Hunter,202510,empty_field
Arequipa,Arequipa,Jacobo Hunter,202511,empty_field
Arequipa,Arequipa,Jacobo Hunter,202512,empty_field
Arequipa,Arequipa,Jacobo Hunter,202601,empty_field
Arequipa,Arequipa,Jacobo Hunter,202602,empty_field
Arequipa,Arequipa,Jacobo Hunter,202603,empty_field
Arequipa,Arequipa,Jacobo Hunter,202604,empty_field
Arequipa,Arequipa,Jacobo Hunter,202605,empty_field
Arequipa,Arequipa,Sachaca,202410,empty_field
Arequipa,Arequipa,Sachaca,202411,empty_field
Arequipa,Arequipa,Sachaca,202412,empty_field
Arequipa,Arequipa,Sachaca,202501,empty_field
Arequipa,Arequipa,Sachaca,202502,empty_field
Arequipa,Arequipa,Sachaca,202503,empty_field
Arequipa,Arequipa,Sachaca,202504,empty_field
Arequipa,Arequipa,Sachaca,202505,empty_field
Arequipa,Arequipa,Sachaca,202506,empty_field
Arequipa,Arequipa,Sachaca,202507,empty_field
Arequipa,Arequipa,Sachaca,202508,empty_field
Arequipa,Arequipa,Sachaca,202509,empty_field
Arequipa,Arequipa,Sachaca,202510,empty_field
Arequipa,Arequipa,Sachaca,202511,empty_field
Arequipa,Arequipa,Sachaca,202512,empty_field
Arequipa,Arequipa,Sachaca,202601,empty_field
Arequipa,Arequipa,Sachaca,202602,empty_field
Arequipa,Arequipa,Sachaca,202603,empty_field
Arequipa,Arequipa,Sachaca,202604,empty_field
Arequipa,Arequipa,Sachaca,202605,empty_field
Arequipa,Arequipa,Socabaya,202410,empty_field
Arequipa,Arequipa,Socabaya,202411,empty_field
Arequipa,Arequipa,Socabaya,202412,empty_field
Arequipa,Arequipa,Socabaya,202501,empty_field
Arequipa,Arequipa,Socabaya,202502,empty_field
Arequipa,Arequipa,Socabaya,202503,empty_field
Arequipa,Arequipa,Socabaya,202504,empty_field
Arequipa,Arequipa,Socabaya,202505,empty_field
Arequipa,Arequipa,Socabaya,202506,empty_field
Arequipa,Arequipa,Socabaya,202507,empty_field
Arequipa,Arequipa,Socabaya,202508,empty_field
Arequipa,Arequipa,Socabaya,202509,empty_field
Arequipa,Arequipa,Socabaya,202510,empty_field
Arequipa,Arequipa,Socabaya,202511,empty_field
Arequipa,Arequipa,Socabaya,202512,empty_field
Arequipa,Arequipa,Socabaya,202601,empty_field
Arequipa,Arequipa,Socabaya,202602,empty_field
Arequipa,Arequipa,Socabaya,202603,empty_field
Arequipa,Arequipa,Socabaya,202604,empty_field
Arequipa,Arequipa,Socabaya,202605,empty_field
Arequipa,Arequipa,Tiabaya,202410,empty_field
Arequipa,Arequipa,Tiabaya,202411,empty_field
Arequipa,Arequipa,Tiabaya,202412,empty_field
Arequipa,Arequipa,Tiabaya,202501,empty_field
Arequipa,Arequipa,Tiabaya,202502,empty_field
Arequipa,Arequipa,Tiabaya,202503,empty_field
Arequipa,Arequipa,Tiabaya,202504,empty_field
Arequipa,Arequipa,Tiabaya,202505,empty_field
Arequipa,Arequipa,Tiabaya,202506,empty_field
Arequipa,Arequipa,Tiabaya,202507,empty_field
Arequipa,Arequipa,Tiabaya,202508,empty_field
Arequipa,Arequipa,Tiabaya,202509,empty_field
Arequipa,Arequipa,Tiabaya,202510,empty_field
Arequipa,Arequipa,Tiabaya,202511,empty_field
Arequipa,Arequipa,Tiabaya,202512,empty_field
Arequipa,Arequipa,Tiabaya,202601,empty_field
Arequipa,Arequipa,Tiabaya,202602,empty_field
Arequipa,Arequipa,Tiabaya,202603,empty_field
Arequipa,Arequipa,Tiabaya,202604,empty_field
Arequipa,Arequipa,Tiabaya,202605,empty_field
Arequipa,Arequipa,Yanahuara,202410,empty_field
Arequipa,Arequipa,Yanahuara,202411,empty_field
Arequipa,Arequipa,Yanahuara,202412,empty_field
Arequipa,Arequipa,Yanahuara,202501,empty_field
Arequipa,Arequipa,Yanahuara,202502,empty_field
Arequipa,Arequipa,Yanahuara,202503,empty_field
Arequipa,Arequipa,Yanahuara,202504,empty_field
Arequipa,Arequipa,Yanahuara,202505,empty_field
Arequipa,Arequipa,Yanahuara,202506,empty_field
Arequipa,Arequipa,Yanahuara,202507,empty_field
Arequipa,Arequipa,Yanahuara,202508,empty_field
Arequipa,Arequipa,Yanahuara,202509,empty_field
Arequipa,Arequipa,Yanahuara,202510,empty_field
Arequipa,Arequipa,Yanahuara,202511,empty_field
Arequipa,Arequipa,Yanahuara,202512,empty_field
Arequipa,Arequipa,Yanahuara,202601,empty_field
Arequipa,Arequipa,Yanahuara,202602,empty_field
Arequipa,Arequipa,Yanahuara,202603,empty_field
Arequipa,Arequipa,Yanahuara,202604,empty_field
Arequipa,Arequipa,Yanahuara,202605,empty_field
Arequipa,Arequipa,Cayma,202411,empty_field
Arequipa,Arequipa,Cayma,202412,empty_field
Arequipa,Arequipa,Cayma,202501,empty_field
Arequipa,Arequipa,Cayma,202502,empty_field
Arequipa,Arequipa,Cayma,202503,empty_field
Arequipa,Arequipa,Cayma,202504,empty_field
Arequipa,Arequipa,Cayma,202505,empty_field
Arequipa,Arequipa,Cayma,202506,empty_field
Arequipa,Arequipa,Cayma,202507,empty_field
Arequipa,Arequipa,Cayma,202508,empty_field
Arequipa,Arequipa,Cayma,202509,empty_field
Arequipa,Arequipa,Cayma,202510,empty_field
Arequipa,Arequipa,Cayma,202511,empty_field
Arequipa,Arequipa,Cayma,202512,empty_field
Arequipa,Arequipa,Cayma,202601,empty_field
Arequipa,Arequipa,Cayma,202602,empty_field
Arequipa,Arequipa,Cayma,202603,empty_field
Arequipa,Arequipa,Cayma,202604,empty_field
Arequipa,Arequipa,Cayma,202605,empty_field
Arequipa,Arequipa,Jose Luis Bustamante Y Rivero,202411,empty_field
Arequipa,Arequipa,Jose Luis Bustamante Y Rivero,202412,empty_field
Arequipa,Arequipa,Jose Luis Bustamante Y Rivero,202501,empty_field
Arequipa,Arequipa,Jose Luis Bustamante Y Rivero,202502,empty_field
Arequipa,Arequipa,Jose Luis Bustamante Y Rivero,202503,empty_field
Arequipa,Arequipa,Jose Luis Bustamante Y Rivero,202504,empty_field
Arequipa,Arequipa,Jose Luis Bustamante Y Rivero,202505,empty_field
Arequipa,Arequipa,Jose Luis Bustamante Y Rivero,202506,empty_field
Arequipa,Arequipa,Jose Luis Bustamante Y Rivero,202507,empty_field
Arequipa,Arequipa,Jose Luis Bustamante Y Rivero,202508,empty_field
Arequipa,Arequipa,Jose Luis Bustamante Y Rivero,202509,empty_field
Arequipa,Arequipa,Jose Luis Bustamante Y Rivero,202510,empty_field
Arequipa,Arequipa,Jose Luis Bustamante Y Rivero,202511,empty_field
Arequipa,Arequipa,Jose Luis Bustamante Y Rivero,202512,empty_field
Arequipa,Arequipa,Jose Luis Bustamante Y Rivero,202601,empty_field
Arequipa,Arequipa,Jose Luis Bustamante Y Rivero,202602,empty_field
Arequipa,Arequipa,Jose Luis Bustamante Y Rivero,202603,empty_field
Arequipa,Arequipa,Jose Luis Bustamante Y Rivero,202604,empty_field
Arequipa,Arequipa,Jose Luis Bustamante Y Rivero,202605,empty_field
Arequipa,Arequipa,Mariano Melgar,202411,empty_field
Arequipa,Arequipa,Mariano Melgar,202412,empty_field
Arequipa,Arequipa,Mariano Melgar,202501,empty_field
Arequipa,Arequipa,Mariano Melgar,202502,empty_field
Arequipa,Arequipa,Mariano Melgar,202503,empty_field
