outcome,department,province,district,breakpoint_yearmonth,delta_treated,delta_control_mean,did,n_controls,has_5g_post
time4g,La Libertad,Trujillo,El Porvenir,202412,1.2443975000000052,1.7457442333333404,-0.5013467333333352,5,False
time4g,La Libertad,Trujillo,La Esperanza,202412,0.7235974999999968,1.493529866666671,-0.7699323666666742,5,False
time4g,La Libertad,Trujillo,Moche,202412,1.4860758333333308,-1.4465490333333322,2.932624866666663,5,False
time4g,La Libertad,Trujillo,Trujillo,202412,2.1731006666666417,2.1396742999999985,0.033426366666643226,5,False
time4g,La Libertad,Trujillo,Victor Larco Herrera,202412,3.5921426666666747,-0.816351766666665,4.40849443333334,5,False
time4g,Lambayeque,Chiclayo,Chiclayo,202412,0.8472431666666722,2.2361432000000008,-1.3889000333333286,5,False
time4g,Lambayeque,Chiclayo,Jose Leonardo Ortiz,202412,0.07654516666666211,1.394168133333335,-1.3176229666666728,5,False
time4g,Lambayeque,Chiclayo,La Victoria,202412,0.6673164999999983,0.8770686999999924,-0.20975219999999406,5,False
time4g,Lambayeque,Chiclayo,Pimentel,202412,0.1308284999999927,0.023458933333341748,0.10736956666665094,5,False
time4g,Lima,Cañete,Asia,202512,4.3170426666666515,1.2325791666666646,3.0844634999999867,5,True
time4g,Lima,Cañete,Chilca,202510,3.876711666666651,1.3705341666666642,2.506177499999987,5,False
time4g,Lima,Cañete,Mala,202512,0.7693434999999909,0.6379459666666747,0.13139753333331616,5,True
time4g,Lima,Huaura,Sayan,202602,3.871852500000003,1.3240510666666594,2.547801433333343,5,False
time4g,Lima,Lima,Barranco,202511,0.606606499999998,1.5885516249999974,-0.9819451249999993,4,False
time4g,Lima,Lima,Breña,202512,0.7267875000000004,0.9424595333333314,-0.21567203333333107,5,True
time4g,Lima,Lima,Carabayllo,202512,1.9903408333333346,1.333267888888879,0.6570729444444556,3,True
time4g,Lima,Lima,Independencia,202512,2.728737333333328,1.0728533666666664,1.6558839666666614,5,False
time4g,Lima,Lima,Los Olivos,202512,1.9959226666666723,1.4120126249999885,0.5839100416666838,4,True
time4g,Lima,Lima,Puente Piedra,202512,2.516023500000003,0.8491457333333244,1.6668777666666785,5,False
time4g,Lima,Lima,Punta Negra,202504,10.239843333333354,0.71368406666667,9.526159266666685,5,False
time4g,Lima,Lima,San Juan De Lurigancho,202512,2.344502833333351,1.3501725333333296,0.9943303000000214,5,True
time4g,Lima,Lima,San Martin De Porres,202512,3.3299816666666544,1.1911128888888811,2.1388687777777733,3,True
time4g,Piura,Piura,Castilla,202412,1.257593166666652,1.3623997666666667,-0.10480660000001474,5,False
time4g,Piura,Piura,Catacaos,202411,1.4855271666666852,0.597514366666681,0.8880128000000042,5,False
time4g,Piura,Piura,Veintiseis De Octubre,202412,0.6005320000000154,1.1333021666666696,-0.5327701666666542,5,False
time4g,Puno,Chucuito,Desaguadero,202601,3.4786026666666743,0.06736081999999328,3.411241846666681,5,False
time4g,Puno,Melgar,Ayaviri,202602,3.598470666666671,-2.0305931999999958,5.629063866666667,5,False
time4g,Puno,Puno,Puno,202511,0.9039880000000124,-0.6716460333333316,1.575634033333344,5,False
time4g,Puno,San Roman,Caracoto,202511,2.0969388333333256,-1.4492851666666637,3.5462239999999894,5,False
time4g,Puno,San Roman,Juliaca,202511,0.014838499999981991,-0.6716460333333316,0.6864845333333136,5,False
time4g,Puno,San Roman,San Miguel,202511,2.428464666666656,-1.6018694333333285,4.030334099999985,5,False
time4g,Tacna,Candarave,Camilaca,202412,24.379230000000007,0.4447978333333443,23.934432166666664,3,False
time4g,Tumbes,Tumbes,Tumbes,202511,-1.0757868333333391,0.2790641666666602,-1.3548509999999994,5,False
latency,Arequipa,Arequipa,Alto Selva Alegre,202410,-17.331204000000007,-14.430962533333332,-2.9002414666666745,5,False
latency,Arequipa,Arequipa,Cayma,202411,-16.212553333333332,-13.652099566666667,-2.560453766666665,5,False
latency,Arequipa,Arequipa,Jacobo Hunter,202410,-16.726542999999992,-14.824810666666668,-1.9017323333333245,5,False
latency,Arequipa,Arequipa,Jose Luis Bustamante Y Rivero,202411,-16.67580733333333,-14.735937266666673,-1.9398700666666588,5,False
latency,Arequipa,Arequipa,Mariano Melgar,202411,-16.437332000000005,-14.683203400000002,-1.7541286000000031,5,False
latency,Arequipa,Arequipa,Miraflores,202411,-16.3872085,-13.016820333333328,-3.3703881666666717,3,False
latency,Arequipa,Arequipa,Paucarpata,202411,-16.841227000000003,-14.417101366666671,-2.4241256333333325,5,False
latency,Arequipa,Arequipa,Sachaca,202410,-16.307737666666668,-14.858607733333333,-1.4491299333333352,5,False
latency,Arequipa,Arequipa,Socabaya,202410,-16.57144300000001,-13.57822753333333,-2.9932154666666797,5,False
latency,Arequipa,Arequipa,Tiabaya,202410,-19.200121333333342,-16.21394086666667,-2.9861804666666742,5,False
latency,Arequipa,Arequipa,Yanahuara,202410,-16.07921600000001,-14.753769166666663,-1.3254468333333467,5,False
latency,Ayacucho,Huamanga,Carmen Alto,202505,-3.106517333333329,-1.8486705333333275,-1.2578468000000016,5,False
latency,Callao,Callao,La Perla,202602,-3.807056833333327,-1.5924803666666634,-2.2145764666666636,5,False
latency,Cusco,Cusco,Cusco,202509,-4.076732500000006,-3.3473737083333344,-0.7293587916666713,4,False
latency,Cusco,Cusco,San Jeronimo,202509,-6.497700666666688,-3.9244126666666705,-2.5732880000000176,4,False
latency,Cusco,Cusco,San Sebastian,202509,-6.02619266666666,-2.988402533333333,-3.037790133333327,5,False
latency,Cusco,Cusco,Santiago,202509,-3.3457416666666546,-3.3473737083333344,0.00163204166667974,4,False
latency,Cusco,Cusco,Wanchaq,202509,-3.4796070000000157,-3.312821466666665,-0.16678553333335078,5,False
latency,Cusco,Espinar,Espinar,202602,0.3853647500000008,-1.7596679999999978,2.1450327499999986,5,False
latency,Ica,Chincha,Alto Laran,202406,9.546288500000003,-4.808505566666668,14.35479406666667,5,False
latency,Ica,Chincha,Chincha Alta,202406,9.331806,-4.201700133333338,13.533506133333338,5,False
latency,Ica,Chincha,Chincha Baja,202406,9.610894166666682,-4.001605066666665,13.612499233333347,5,False
latency,Ica,Chincha,El Carmen,202406,12.268098500000008,-4.191545933333333,16.45964443333334,5,False
latency,Ica,Chincha,Pueblo Nuevo,202406,9.073439833333325,-4.163577166666667,13.237016999999991,5,False
latency,Ica,Chincha,Sunampe,202405,10.78984699999998,-3.4059935000000023,14.195840499999983,5,False
