department,province,district,carrier,breakpoint_yearmonth,months_pre,months_post,pre6_4g_download_mbps,post6_4g_download_mbps,delta_4g_download_mbps,pct_4g_download_upgrade,pre6_4g_upload_mbps,post6_4g_upload_mbps,delta_4g_upload_mbps,pct_4g_upload_upgrade,pre6_4g_latency_ms,post6_4g_latency_ms,delta_4g_latency_ms,pct_4g_latency_improvement,pre6_4g_time_pct,post6_4g_time_pct,delta_4g_time_pp,pre6_4g_packet_loss_pct,post6_4g_packet_loss_pct,delta_4g_packet_loss_pp,pct_4g_packet_loss_improvement,composite_upgrade_score,pre6_4g_download_measurements,post6_4g_download_measurements,last_yearmonth_available
Arequipa,Arequipa,Alto Selva Alegre,MOVISTAR,202410,21,20,9.7304185,11.324420166666668,1.5940016666666672,0.1638163524689782,3.44260285,3.24038155,-0.20222130000000016,-0.05874081583357782,80.06213833333334,62.73093433333333,-17.331204000000007,0.27627842920220513,95.42215083333332,97.25005633333332,1.8279055,0.7951904416666666,0.5466233316666667,-0.24856710999999998,0.4547319801409013,0.15126348317015098,34813.0,41680.666666666664,202605
Cusco,Cusco,Wanchaq,MOVISTAR,202509,32,9,9.495076833333332,11.983264833333335,2.4881880000000027,0.26205032815163665,2.5184751999999997,2.9991228999999997,0.4806477,0.1908486928916353,69.54679750000001,66.0671905,-3.4796070000000157,0.0526677004677536,93.02603833333335,94.74851666666666,1.7224783333333136,1.2037879833333334,1.1563788566666668,-0.04740912666666652,0.04099791897209726,0.15124797375994317,44226.0,38161.0,202605
Junin,Huancayo,Huancayo,MOVISTAR,202501,24,17,8.915837833333333,10.321927666666667,1.4060898333333345,0.15770697713639836,3.0452356333333337,3.119348783333333,0.07411314999999918,0.02433741060585004,68.731129,57.21983216666667,-11.511296833333326,0.2011766969152211,95.62662166666667,96.79002166666668,1.16340000000001,0.6619327733333333,0.4274653400000001,-0.23446743333333325,0.5485063030685322,0.14619799182766877,192784.0,170906.5,202605
Arequipa,Arequipa,Sachaca,MOVISTAR,202410,21,20,9.195857833333333,10.607178499999998,1.411320666666665,0.1534735195177639,2.9009567,2.9424080999999997,0.041451399999999694,0.014288872357177684,78.60741483333334,62.29967716666667,-16.307737666666668,0.2617627957050168,93.95327816666668,97.33045983333334,3.377181666666658,0.8063779216666666,0.6733274216666666,-0.13305049999999996,0.19760148735761307,0.14391928445481705,16266.833333333334,11908.5,202605
La Libertad,Trujillo,La Esperanza,MOVISTAR,202412,23,18,9.528016,10.45188875,0.923872750000001,0.09696381177361602,2.8360402333333337,2.7602165500000004,-0.07582368333333322,-0.026735757286564965,72.04255683333334,56.668988500000005,-15.373568333333331,0.27128714911389906,94.0975125,94.82110999999999,0.7235974999999968,0.877415155,0.5158025283333334,-0.3616126266666666,0.7010679607079733,0.1387357426803351,78342.5,70982.0,202605
Junin,Huancayo,El Tambo,MOVISTAR,202501,24,17,9.784827083333333,10.857101833333333,1.07227475,0.1095854572459869,3.091411566666667,3.070485533333333,-0.02092603333333365,-0.006769086833655513,68.1697405,57.284059500000005,-10.885680999999998,0.1900298459120202,95.1164015,96.305895,1.1894935000000117,0.6366962933333333,0.33487020500000003,-0.3018260883333333,0.9013226134386405,0.13717665227328352,203384.66666666666,228003.16666666666,202605
Puno,Puno,Puno,MOVISTAR,202511,34,7,9.624984666666668,11.306933333333333,1.6819486666666652,0.17474819180664314,2.5910288500000003,3.0174386666666666,0.42640981666666633,0.16457162052312402,68.11725233333334,62.89281033333334,-5.224442000000003,0.08306898630082427,94.988315,95.89230300000001,0.9039880000000124,0.6497124266666667,0.46772221333333336,-0.18199021333333337,0.3890989312573738,0.13616319493920065,186101.83333333334,153667.16666666666,202605
Arequipa,Arequipa,Paucarpata,MOVISTAR,202411,22,19,9.478909166666666,10.119655250000001,0.6407460833333349,0.06759702747090035,3.4191594666666667,3.7462876166666668,0.32712815000000006,0.09567501989572791,78.43511416666666,61.59388716666666,-16.841227000000003,0.273423675216818,94.56112433333332,94.72270583333334,0.16158150000001115,0.8660901016666666,0.5903271366666667,-0.27576296499999986,0.4671358436224351,0.13334514720804558,58099.0,66640.66666666667,202605
La Libertad,Trujillo,Trujillo,MOVISTAR,202412,23,18,11.381563666666667,12.651016166666665,1.269452499999998,0.11153586072868538,3.1702970166666664,2.9221693833333333,-0.2481276333333331,-0.0782663681127963,70.76548633333333,56.54691016666667,-14.218576166666658,0.25144744646097816,94.29506766666668,96.46816833333332,2.1731006666666417,0.5213274533333334,0.31164365,-0.20968380333333342,0.6728319455035694,0.13263749896497767,315122.5,292606.8333333333,202605
Piura,Piura,Veintiseis De Octubre,MOVISTAR,202412,23,18,9.117502333333334,10.074332333333334,0.9568300000000001,0.10494431095475076,3.1580780333333336,3.10231975,-0.05575828333333366,-0.0176557649129655,76.15715166666666,61.054985666666674,-15.10216599999999,0.2473535262533868,97.45815333333333,98.05868533333334,0.6005320000000154,0.6655853966666666,0.4145437566666667,-0.2510416399999999,0.605585383841305,0.13234780840036747,84552.83333333333,92823.33333333333,202605
Junin,Huancayo,Chilca,MOVISTAR,202501,24,17,7.4819576,8.4890329,1.0070752999999995,0.13460050882940044,2.8400245833333333,2.986250216666667,0.1462256333333336,0.05148745338031846,71.00034566666666,60.41371066666667,-10.586634999999994,0.17523563580479062,90.913341,94.58410833333333,3.6707673333333304,1.0079748566666666,0.7325571883333333,-0.27541766833333337,0.37596746400092784,0.129676754690052,60643.833333333336,60314.0,202605
Arequipa,Arequipa,Tiabaya,MOVISTAR,202410,21,20,8.894516,10.487080166666667,1.5925641666666674,0.17905012107085616,3.3701685833333332,2.584116116666667,-0.7860524666666664,-0.2332383224251664,81.27061250000001,62.07049116666667,-19.200121333333342,0.3093276849022948,93.71401166666668,91.52014666666666,-2.1938650000000166,0.7576689183333333,0.551077535,-0.20659138333333327,0.3748862368946564,0.129419735634874,13106.5,12235.0,202605
La Libertad,Trujillo,Moche,MOVISTAR,202412,23,18,11.023053000000003,11.632213833333333,0.6091608333333305,0.05526244256771062,2.4001724833333338,2.983902066666667,0.5837295833333331,0.24320318118248552,69.21733516666666,57.37009666666666,-11.847238499999996,0.20650546518746782,95.41646916666666,96.90254499999999,1.4860758333333308,0.4289322399999999,0.32075053666666664,-0.10818170333333327,0.3372767648577899,0.12930477249421352,27836.0,25439.166666666668,202605
Cusco,Chumbivilcas,Velille,MOVISTAR,202605,40,1,8.398608666666666,9.705256,1.3066473333333342,0.15557902328742879,1.9839757833333334,2.6445873,0.6606115166666666,0.3329735787181609,67.81822216666667,68.30931,0.4910878333333244,-0.007189178654173567,91.04101916666667,94.73717,3.696150833333334,1.7526435666666667,1.4061229,-0.3465206666666667,0.24643696981726615,0.12824642620001558,26296.833333333332,21574.0,202605
Ayacucho,Huamanga,Carmen Alto,MOVISTAR,202505,28,13,9.471561000000001,11.225062916666667,1.753501916666666,0.1851333604531149,3.2046724,3.8490333500000005,0.6443609500000003,0.20106921069373596,63.640381,60.53386366666667,-3.106517333333329,0.05131866933919094,96.46661333333333,97.72900833333334,1.2623950000000121,1.2940526333333333,1.1185480749999999,-0.17550455833333345,0.15690390270738552,0.12678218075547337,9458.5,8949.666666666666,202605
Tacna,Candarave,Camilaca,MOVISTAR,202412,23,18,7.522975333333332,9.7300665,2.2070911666666673,0.2933800881796502,2.186151183333333,1.34288195,-0.8432692333333331,-0.38573234996838546,95.78806100000001,94.29317283333334,-1.4948881666666693,0.01585362038149829,66.20227666666666,90.58150666666667,24.379230000000007,2.7626358166666662,1.963493493333333,-0.7991423233333332,0.40700024015697944,0.12037444487982585,4389.666666666667,2813.5,202605
Arequipa,Arequipa,Miraflores,MOVISTAR,202411,22,19,11.5843455,11.827727166666667,0.24338166666666794,0.021009531066443765,3.22142955,3.747218116666667,0.5257885666666673,0.1632159134650848,76.35474233333333,59.967533833333334,-16.3872085,0.27326800774473514,96.20951933333333,97.48066966666666,1.271150333333324,0.5756849633333334,0.4562229866666667,-0.11946197666666669,0.26184997283784384,0.11620242552441618,46821.166666666664,44179.333333333336,202605
Arequipa,Arequipa,Jose Luis Bustamante Y Rivero,MOVISTAR,202411,22,19,9.836228,10.856661166666667,1.0204331666666668,0.10374232547950979,3.4286923833333334,3.0561294166666664,-0.372562966666667,-0.10866036523943445,78.461161,61.78535366666667,-16.67580733333333,0.2698990350253505,95.87051816666667,97.393695,1.5231768333333235,0.7527359566666666,0.5384806433333333,-0.21425531333333325,0.3978886074846404,0.11485182978645839,72732.83333333333,74655.5,202605
Arequipa,Arequipa,Jacobo Hunter,MOVISTAR,202410,21,20,9.244044749999999,10.061394,0.8173492500000012,0.08841900619314957,2.9341029833333336,2.7750973,-0.15900568333333354,-0.05419226395138066,80.4479675,63.72142450000001,-16.726542999999992,0.26249480659365965,95.86109183333332,97.83098966666667,1.9698978333333486,0.9469650249999999,0.6956240466666667,-0.25134097833333324,0.3613172654650514,0.11388317455622024,29204.666666666668,36424.166666666664,202605
Ica,Ica,La Tinguiña,MOVISTAR,202508,31,10,8.526984916666665,10.608572833333334,2.0815879166666686,0.2441176965844094,3.491464433333333,2.7521827,-0.7392817333333328,-0.2117397291163392,58.12345833333333,52.29942366666666,-5.82403466666667,0.11135944257792363,95.85774683333334,97.19305816666666,1.3353113333333226,0.7338786933333333,0.5818453166666667,-0.1520333766666666,0.2612951798557914,0.10879370590358334,18645.166666666668,21475.833333333332,202605
Piura,Piura,Catacaos,MOVISTAR,202411,22,19,8.523658916666667,9.294575333333333,0.7709164166666653,0.0904443061604987,3.5702314333333334,2.8185971166666666,-0.7516343166666668,-0.21052817743103736,78.26095933333333,60.83280299999999,-17.42815633333334,0.28649273868464253,96.67953516666667,98.16506233333335,1.4855271666666852,0.6856563716666666,0.4339611399999999,-0.2516952316666667,0.5799948623664015,0.10744971438902462,31616.833333333332,29030.666666666668,202605
Piura,Piura,Castilla,MOVISTAR,202412,23,18,10.618500583333335,10.975581666666665,0.35708108333333044,0.0336282020734453,2.9523693333333334,2.9802624666666664,0.027893133333332987,0.00944771137486411,75.23888000000001,61.70075283333333,-13.538127166666676,0.21941591544654226,95.81653016666667,97.07412333333332,1.257593166666652,0.5937321583333333,0.39201873833333334,-0.20171341999999992,0.5145504545460862,0.0973363288745476,98901.83333333333,82830.33333333333,202605
Junin,Jauja,Jauja,MOVISTAR,202604,39,2,8.906497333333334,10.6577035,1.751206166666666,0.19662119698982283,2.5448893,2.3804132,-0.1644760999999999,-0.06462996248992048,52.85201883333334,52.330211500000004,-0.5218073333333351,0.009971435589044786,98.58151916666667,98.65364,0.07212083333332941,0.62399836,0.44817637,-0.17582198999999998,0.3923053551440028,0.0911702923269024,44104.333333333336,31238.5,202605
Lima,Lima,Punta Negra,MOVISTAR,202504,27,14,11.253182749999999,12.357402666666667,1.1042199166666684,0.09812512079452973,3.8883354833333335,3.619099,-0.2692364833333336,-0.06924209201787457,56.27126566666667,48.36061883333334,-7.910646833333331,0.16357621188835547,87.09372333333333,97.33356666666668,10.239843333333354,0.41907039166666665,0.38094369166666664,-0.03812670000000001,0.10008487037334013,0.09012179600588661,7551.5,10016.166666666666,202605
Junin,Huancayo,Pilcomayo,MOVISTAR,202501,24,17,7.782396366666666,8.693143333333333,0.9107469666666672,0.11702654603504281,3.1047868333333333,2.6999480333333334,-0.40483879999999983,-0.13039181809636846,69.88353283333333,59.892320500000004,-9.99121233333333,0.16681958972241406,94.11217333333333,95.84262183333334,1.7304485000000085,0.8612200400000001,0.6382506583333333,-0.2229693816666668,0.3493445384747549,0.08901964280390312,20408.0,15911.5,202605
Lambayeque,Chiclayo,Pimentel,MOVISTAR,202412,23,18,9.902416833333334,10.110418833333334,0.20800200000000046,0.021005175150760058,2.69055975,2.6998088999999994,0.009249149999999595,0.0034376304038590266,74.62515733333335,60.88865983333333,-13.73649750000002,0.22560026017324186,95.9060465,96.036875,0.1308284999999927,0.6982460383333334,0.492474465,-0.20577157333333346,0.4178319648173707,0.08640562065506188,47455.333333333336,51927.166666666664,202605
Lambayeque,Chiclayo,Chiclayo,MOVISTAR,202412,23,18,10.334399666666666,10.62674,0.29234033333333365,0.02828808085255985,3.2220263,3.2313109333333334,0.009284633333333403,0.0028816131430502434,72.92202233333335,59.95955283333333,-12.962469500000012,0.21618689412229553,95.60721683333333,96.45446,0.8472431666666722,0.5633057816666666,0.41665304666666664,-0.14665273499999992,0.35197806945913435,0.08466396606601208,170940.66666666666,171655.0,202605
La Libertad,Chepen,Pacanga,MOVISTAR,202605,40,1,10.776879083333332,11.821931,1.045051916666667,0.09697166578428651,2.8040145833333336,2.8688927,0.06487811666666632,0.023137581755919845,61.775352999999996,56.700596,-5.074756999999998,0.08950094633925887,91.17317333333334,92.54441,1.371236666666661,1.7060948666666667,1.2645915,-0.44150336666666656,0.34912726099034086,0.08414775821143435,17110.333333333332,7378.0,202605
Puno,San Roman,Caracoto,MOVISTAR,202511,34,7,8.681847883333335,11.529541166666666,2.8476932833333315,0.3280054340505192,2.5019272166666666,1.2190836,-1.2828436166666666,-0.5127421805562382,65.88405116666665,61.55759033333334,-4.326460833333314,0.07028314152496229,92.1281135,94.22505233333332,2.0969388333333256,0.83374614,0.7125331533333333,-0.12121298666666669,0.17011557441168135,0.08351281888859656,12357.833333333334,7484.833333333333,202605
Puno,San Roman,Juliaca,MOVISTAR,202511,34,7,9.839242,10.921399999999998,1.082157999999998,0.10998387883944694,3.11579315,3.0641922166666666,-0.051600933333333376,-0.016561090819951718,66.65867283333334,62.0118535,-4.64681933333334,0.07493437256045477,94.979786,94.99462449999999,0.014838499999981991,0.94002854,0.6682812383333333,-0.2717473016666667,0.40663613772009155,0.08059704568890426,226510.33333333334,155954.83333333334,202605
Lima,Lima,Rimac,MOVISTAR,202605,40,1,12.270291166666667,13.089513,0.8192218333333336,0.0667646612623849,2.9153117833333333,3.0893166,0.17400481666666678,0.059686520550372046,51.27365616666666,48.717583,-2.556073166666664,0.05246715886267728,95.12760166666665,98.852165,3.72456333333335,1.0133367166666665,0.7186322,-0.2947045166666664,0.4100908874757718,0.07486702167696771,62593.166666666664,68192.0,202605
Puno,San Roman,San Miguel,MOVISTAR,202511,34,7,10.766995666666666,12.279728,1.512732333333334,0.14049716189787032,3.35352105,2.8486233333333337,-0.5048977166666662,-0.1505574914064327,69.62093850000001,63.88326583333335,-5.737672666666661,0.0898149553223504,93.39206933333334,95.820534,2.428464666666656,0.9441338216666667,0.7348658166666667,-0.20926800499999998,0.2847703624986049,0.07395019500370106,38139.666666666664,38905.833333333336,202605
Lima,Lima,Magdalena Del Mar,MOVISTAR,202605,40,1,13.182830333333333,13.762464,0.5796336666666662,0.04396883309656485,2.6244201,3.2273765,0.6029564000000001,0.22974843090098274,49.337453333333336,48.963474,-0.3739793333333381,0.007637924819904329,86.459279,94.58883,8.129551000000006,0.5624772166666666,0.4955051,-0.06697211666666664,0.13515928830332258,0.07291156999391557,33750.166666666664,40574.0,202605
Lima,Lima,Puente Piedra,MOVISTAR,202512,35,6,12.369981083333334,13.335299999999998,0.9653189166666643,0.07803721850207879,2.9603677666666663,3.1431044666666668,0.18273670000000042,0.0617277022326721,52.666148333333325,49.65699899999999,-3.0091493333333332,0.0605986949258317,96.09226316666667,98.60828666666667,2.516023500000003,0.8885778683333333,0.7057442666666666,-0.18283360166666673,0.2590649478885838,0.07235099911161945,119452.66666666667,113194.16666666667,202605
Arequipa,Arequipa,Yanahuara,MOVISTAR,202410,21,20,12.855279416666669,12.90593375,0.050654333333332247,0.003940352573562844,3.3324952333333333,3.0225589999999998,-0.30993623333333353,-0.09300425405959822,77.90437433333334,61.82515833333333,-16.07921600000001,0.26007561377050004,97.91735899999999,95.03151516666668,-2.885843833333311,0.7343140933333334,0.5024091249999999,-0.23190496833333352,0.4615859004020548,0.07139493563321318,18157.333333333332,18055.166666666668,202605
Lima,Cañete,Chilca,MOVISTAR,202510,33,8,11.779838666666668,12.847695916666666,1.0678572499999976,0.09065126273942159,2.7712387333333335,2.8018287666666666,0.0305900333333331,0.011038397004699219,60.32545533333333,53.461749166666664,-6.863706166666667,0.1283853647449713,92.01589166666668,95.89260333333333,3.876711666666651,0.8853221866666668,0.9866077833333332,0.10128559666666637,-0.10266044762434867,0.07069465095149889,18221.0,15133.0,202605
Lima,Lima,Los Olivos,MOVISTAR,202512,35,6,13.149542833333333,13.6276235,0.47808066666666704,0.03635720821067334,3.1477227666666665,3.357823783333334,0.21010101666666747,0.06674698893167053,49.8679615,47.356411,-2.5115504999999985,0.05303506847256645,96.22876066666667,98.22468333333335,1.9959226666666723,0.5827119866666667,0.38688648333333325,-0.19582550333333343,0.5061575210540874,0.06611545879486591,165156.16666666666,152400.33333333334,202605
La Libertad,Trujillo,El Porvenir,MOVISTAR,202412,23,18,9.800980166666667,9.6190965,-0.18188366666666766,-0.018557701737348498,3.0127055666666664,3.1571757999999996,0.1444702333333332,0.047953651671702735,72.4551675,60.15404183333334,-12.301125666666664,0.20449375123867752,91.56085666666667,92.80525416666667,1.2443975000000052,0.9052724150000001,0.7270733100000001,-0.17819910500000002,0.24509097301343652,0.06501454976615723,65724.0,48945.833333333336,202605
Ica,Chincha,Alto Laran,MOVISTAR,202406,17,24,10.021989833333334,11.224286333333334,1.2022964999999992,0.11996584710165425,2.8874786666666665,3.2611276,0.3736489333333335,0.12940318404661233,77.04205666666667,86.58834516666667,9.546288500000003,-0.11024911587841468,89.82243483333333,93.76296166666667,3.9405268333333368,0.6828441550000001,0.5040164450000001,-0.17882770999999997,0.35480530798950416,0.0634855931275251,16628.5,19839.666666666668,202605
Ica,Ica,Parcona,MOVISTAR,202510,33,8,9.188868666666666,10.698820583333335,1.5099519166666688,0.16432402850028072,3.390426533333333,2.9396233166666668,-0.45080321666666645,-0.1329635702866726,61.162147499999996,56.3536755,-4.808471999999995,0.08532667935740945,96.03978433333334,97.62737733333334,1.5875929999999983,0.45847162,0.53444993,0.07597830999999994,-0.142161698851752,0.06239005025387615,32609.666666666668,34597.0,202605
Ica,Chincha,Chincha Alta,MOVISTAR,202406,17,24,11.399142,12.084174666666664,0.6850326666666646,0.060095107742904164,2.9960883000000003,3.928726483333333,0.9326381833333328,0.3112852793201497,74.92816066666667,84.25996666666667,9.331806,-0.11075017436117351,96.24883266666666,98.206494,1.9576613333333484,0.556994215,0.4282286833333333,-0.1287655316666667,0.30069338341457064,0.0610144525756193,111478.0,111747.66666666667,202605
Ica,Ica,Ica,MOVISTAR,202510,33,8,10.621536166666667,11.624691416666666,1.003155249999999,0.09444540170641025,2.695556033333333,2.791274733333333,0.09571870000000038,0.035509816459513344,56.27145466666666,52.36071383333334,-3.910740833333321,0.07468845527548384,95.65063833333333,96.80828233333335,1.157644000000019,0.44377301500000005,0.4730598,0.029286784999999926,-0.06190926601668523,0.060417749669527836,167412.16666666666,156009.33333333334,202605
La Libertad,Ascope,Casa Grande,MOVISTAR,202604,39,2,11.871406333333335,12.875449,1.004042666666665,0.08457655634677819,2.6320348166666667,2.61863015,-0.013404666666666731,-0.005092891090112239,56.830098166666666,53.8120025,-3.0180956666666674,0.05608591998907064,91.56995366666666,96.088403,4.518449333333336,0.5639813416666667,0.5502679500000001,-0.01371339166666663,0.024921298190575314,0.05511190778199087,26540.833333333332,15909.5,202605
Callao,Callao,La Perla,MOVISTAR,202602,37,4,13.285471666666666,14.777174875,1.491703208333334,0.1122807865433959,3.3372604666666668,2.975975825,-0.36128464166666685,-0.10825784959707574,51.085605333333326,47.2785485,-3.807056833333327,0.0805239787201446,97.12484666666667,98.89239725,1.7675505833333318,0.36531981166666666,0.34381675500000003,-0.02150305666666663,0.06254220119861986,0.05458306779276415,37284.833333333336,29402.25,202605
Lima,Lima,Barranco,MOVISTAR,202511,34,7,13.206799333333334,14.390050416666668,1.1832510833333334,0.08959408358290588,3.473421633333333,3.1704381999999995,-0.30298343333333344,-0.08722909721805638,53.84529116666667,46.88276716666667,-6.962524000000002,0.14850923741869715,96.89310683333333,97.49971333333333,0.606606499999998,0.29537298333333334,0.3373172283333333,0.041944244999999936,-0.12434658379960084,0.054573158765148136,35413.833333333336,27098.833333333332,202605
Lima,Lima,Jesus Maria,MOVISTAR,202605,40,1,13.301797666666666,13.888086,0.586288333333334,0.044075872150914686,2.824535583333333,3.203448,0.37891241666666664,0.13415034276873894,49.32008716666666,49.09325,-0.22683716666666243,0.004620536767613981,96.397155,97.67687,1.279714999999996,0.7267981199999999,0.5807567,-0.14604141999999987,0.251467473384293,0.053400980636794854,118798.66666666667,107113.0,202605
