department,province,district,carrier,breakpoint_yearmonth,months_pre,months_post,pre6_4g_download_mbps,post6_4g_download_mbps,delta_4g_download_mbps,pct_4g_download_upgrade,pre6_4g_upload_mbps,post6_4g_upload_mbps,delta_4g_upload_mbps,pct_4g_upload_upgrade,pre6_4g_latency_ms,post6_4g_latency_ms,delta_4g_latency_ms,pct_4g_latency_improvement,pre6_4g_time_pct,post6_4g_time_pct,delta_4g_time_pp,pre6_4g_packet_loss_pct,post6_4g_packet_loss_pct,delta_4g_packet_loss_pp,pct_4g_packet_loss_improvement,composite_upgrade_score,pre6_4g_download_measurements,post6_4g_download_measurements,pre6_4g_download_mbps_weighted,post6_4g_download_mbps_weighted,delta_4g_download_mbps_weighted,last_yearmonth_available,ubigeo,shape_department,shape_province,shape_district,region3,altitud_m,poblacion_distrito
Arequipa,Arequipa,Tiabaya,MOVISTAR,202410,21,22,8.894516,10.487080166666667,1.5925641666666674,0.17905012107085616,3.3701685833333332,2.584116116666667,-0.7860524666666664,-0.2332383224251664,81.27061250000001,62.07049116666667,-19.200121333333342,0.3093276849022948,93.71401166666668,91.52014666666666,-2.1938650000000166,0.7576689183333333,0.551077535,-0.20659138333333327,0.3748862368946564,0.129419735634874,13106.5,12235.0,8.89625120410992,10.484668940893613,1.5884177367836934,202607,040123,AREQUIPA,AREQUIPA,TIABAYA,Costa,2218,16191
Arequipa,Arequipa,Yanahuara,MOVISTAR,202410,21,22,12.855279416666669,12.90593375,0.050654333333332247,0.003940352573562844,3.3324952333333333,3.0225589999999998,-0.30993623333333353,-0.09300425405959822,77.90437433333334,61.82515833333333,-16.07921600000001,0.26007561377050004,97.91735899999999,95.03151516666668,-2.885843833333311,0.7343140933333334,0.5024091249999999,-0.23190496833333352,0.4615859004020548,0.07139493563321318,18157.333333333332,18055.166666666668,12.809018026077618,12.909991636498324,0.10097361042070574,202607,040126,AREQUIPA,AREQUIPA,YANAHUARA,Sierra,2402,25417
Arequipa,Arequipa,Jose Luis Bustamante Y Rivero,MOVISTAR,202411,22,21,9.836228,10.856661166666667,1.0204331666666668,0.10374232547950979,3.4286923833333334,3.0561294166666664,-0.372562966666667,-0.10866036523943445,78.461161,61.78535366666667,-16.67580733333333,0.2698990350253505,95.87051816666667,97.393695,1.5231768333333235,0.7527359566666666,0.5384806433333333,-0.21425531333333325,0.3978886074846404,0.11485182978645839,72732.83333333333,74655.5,9.867205974805051,10.85434390716022,0.9871379323551697,202607,040129,AREQUIPA,AREQUIPA,JOSE LUIS BUSTAMANTE Y RIVERO,Sierra,2389,81829
Ayacucho,Huamanga,Carmen Alto,MOVISTAR,202505,28,15,9.471561000000001,11.225062916666667,1.753501916666666,0.1851333604531149,3.2046724,3.8490333500000005,0.6443609500000003,0.20106921069373596,63.640381,60.53386366666667,-3.106517333333329,0.05131866933919094,96.46661333333333,97.72900833333334,1.2623950000000121,1.2940526333333333,1.1185480749999999,-0.17550455833333345,0.15690390270738552,0.12678218075547337,9458.5,8949.666666666666,9.626983440556115,11.40601338061939,1.7790299400632748,202607,050104,AYACUCHO,HUAMANGA,CARMEN ALTO,Sierra,2921,28252
Cajamarca,Hualgayoc,Bambamarca,MOVISTAR,202607,42,1,10.811283833333333,10.549047,-0.2622368333333327,-0.024255845778907825,3.0455572833333338,2.900435,-0.14512228333333388,-0.047650485553993205,60.01720316666667,60.192284,0.17508083333333246,-0.0029086923057003444,84.21866666666666,84.313774,0.09510733333333121,0.8551769199999999,1.0349709,0.17979398000000013,-0.1737188746079722,-0.026120366951485813,18647.5,10500.0,10.789876814202083,10.549047,-0.24082981420208327,202607,060701,CAJAMARCA,HUALGAYOC,BAMBAMARCA,Sierra,2556,59913
Callao,Callao,Callao,MOVISTAR,202605,40,3,13.327324833333334,13.450476,0.12315116666666626,0.009240501616547103,2.877716916666667,3.3709868999999997,0.4932699833333327,0.17141018300879285,49.133410833333336,50.252581666666664,1.1191708333333281,-0.02227091218431254,96.19674583333334,97.67115166666667,1.4744058333333356,0.5438798616666667,0.4825318066666666,-0.06134805500000007,0.1271378469821356,0.03240850115096642,257052.0,244880.33333333334,13.32059287988552,13.449860339363035,0.12926745947751428,202607,070101,CALLAO,CALLAO,CALLAO,Costa,27,451260
Callao,Callao,Bellavista,MOVISTAR,202605,40,3,12.880298166666668,13.755758,0.8754598333333323,0.06796891050231757,2.7367940833333333,2.7970010999999997,0.06020701666666639,0.021999103634912975,52.12063683333333,51.89112866666667,-0.22950816666666185,0.004422878680110376,97.16137666666664,97.08443799999999,-0.07693866666664917,0.72333881,0.61449268,-0.10884612999999999,0.17713169504313697,0.04033432616834844,46037.666666666664,51137.333333333336,12.87904435470231,13.753294397211432,0.8742500425091215,202607,070102,CALLAO,CALLAO,BELLAVISTA,Costa,13,74851
Callao,Callao,La Perla,MOVISTAR,202602,37,6,13.285471666666666,14.76204225,1.4765705833333342,0.11114175095778189,3.3372604666666668,3.0745732833333332,-0.2626871833333335,-0.07871341957186562,51.085605333333326,48.26503533333334,-2.8205699999999894,0.05843919890496818,97.12484666666667,98.72599733333334,1.601150666666669,0.36531981166666666,0.35225646,-0.013063351666666667,0.03708477529884524,0.05151545193851723,37284.833333333336,31688.833333333332,13.304467497637555,14.73779098973087,1.433323492093315,202607,070104,CALLAO,CALLAO,LA PERLA,Costa,37,61417
Cusco,Cusco,Cusco,MOVISTAR,202509,32,11,8.325551416666668,11.494709916666666,3.169158499999998,0.38065448657920187,2.295560183333333,2.788672233333333,0.49311205000000013,0.21481120537818477,70.67241916666667,66.59568666666667,-4.076732500000006,0.06121616435018362,89.81116566666667,93.53187866666667,3.7207130000000035,1.3832194166666667,1.6693697500000002,0.2861503333333335,-0.17141219513132633,0.19679797626938808,57674.0,42626.5,8.374681415968778,11.525023170289217,3.150341754320438,202607,080101,CUSCO,CUSCO,CUSCO,Sierra,3439,114630
Cusco,Cusco,San Jeronimo,MOVISTAR,202509,32,11,8.762957766666666,12.226203416666666,3.4632456499999993,0.39521423498967523,2.7443106,3.1673788666666667,0.42306826666666675,0.1541619475093916,68.06729583333335,61.56959516666666,-6.497700666666688,0.10553424379480902,94.28156833333333,96.3573215,2.075753166666672,0.8094351966666666,0.9918668816666667,0.18243168500000007,-0.18392758985303959,0.20151079732832913,36490.833333333336,30584.666666666668,8.755244932140036,12.250490673698147,3.4952457415581115,202607,080104,CUSCO,CUSCO,SAN JERONIMO,Sierra,3289,57075
